,name,car_ids,market_ids,cy,dr,at,ps,air,drv,prices,wght,dom,disp,hp,lngth,wdth,wb,mpg,sales,firm_ids,eu,re,sales*,dfi,ci,mpd,shares,clustering_ids,region,hpwt,space,trend,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,demand_instruments5,demand_instruments6,demand_instruments7,supply_instruments0,supply_instruments1,supply_instruments2,supply_instruments3,supply_instruments4,supply_instruments5,supply_instruments6,supply_instruments7,supply_instruments8,supply_instruments9,supply_instruments10,supply_instruments11
0,AMGREM,129,1971,6,2,0,0,0,-9,4.935802469135802,2.552,1,2.32,1.35,1.62,0.71,0.96,1.6969999999999998,70.096,15,0,2,70096,0,0,1.8881456043956042,0.0010512928190053391,AMGREM71,US,0.5289968652037618,1.1502000000000001,0,4.0,1.840966834987801,0.0,6.844945054945056,87.0,44.55553907713082,0.0,167.32508241758242,4.0,-3.1097175369471524,0.0,1.7059333645946284,1.5956559079857384,87.0,-61.959984725616046,0.0,46.06038918132736,29.78698898154579,0,1.8881456043956042
1,AMHORN,130,1971,6,4,0,0,0,-9,5.516049382716049,2.731,1,2.32,1.35,1.8,0.71,1.08,1.7399999999999998,44.678,15,0,3,44678,0,0,1.935989010989011,0.0006700761893334934,AMHORN71,US,0.4943244232881729,1.278,0,4.0,1.8756392769033898,0.0,6.7971016483516475,87.0,44.55553907713082,0.0,167.32508241758242,4.0,-3.0419270599381285,0.0,1.68091023762028,1.4902953923279123,87.0,-61.959984725616046,0.0,46.06038918132736,29.78698898154579,0,1.935989010989011
2,AMJAVL,132,1971,6,2,0,0,0,-9,7.108641975308641,2.887,1,2.32,1.35,1.92,0.76,1.1,1.543,22.705,15,0,2,22705,0,0,1.7167994505494506,0.0003405273261743356,AMJAVL71,US,0.4676134395566332,1.4592,0,4.0,1.9023502606349296,0.0,7.016291208791209,87.0,44.55553907713082,0.0,167.32508241758242,4.0,-2.986377001748898,0.0,1.8010667774656939,1.3577034079453254,87.0,-61.959984725616046,0.0,46.06038918132736,29.78698898154579,0,1.7167994505494506
3,AMMATA,134,1971,6,4,0,0,0,-9,6.8395061728395055,3.165,1,2.32,1.35,2.06,0.78,1.18,1.517,34.821,15,0,3,34821,0,0,1.687870879120879,0.0005222418861359409,AMMATA71,US,0.4265402843601896,1.6068,0,4.0,1.9434234158313732,0.0,7.04521978021978,87.0,44.55553907713082,0.0,167.32508241758242,4.0,-2.8944418468335567,0.0,1.8180606504803225,1.2613471247802652,87.0,-61.959984725616046,0.0,46.06038918132736,29.78698898154579,0,1.687870879120879
4,AMAMBS,136,1971,6,4,1,0,0,-9,8.928395061728395,3.315,1,2.58,1.5,2.11,0.78,1.22,1.3519999999999999,29.499,15,0,4,29499,0,0,1.5042857142857142,0.000442423060771492,AMAMBS71,US,0.45248868778280543,1.6458,0,4.0,1.9174750124087574,0.0,7.228804945054945,87.0,44.55553907713082,0.0,167.32508241758242,4.0,-2.9534977944496967,0.0,1.9332103732259456,1.2373651600937798,87.0,-61.959984725616046,0.0,46.06038918132736,29.78698898154579,0,1.5042857142857142
5,BKSKYL,138,1971,6,4,0,0,0,-9,7.153086419753087,3.216,1,2.5,1.45,2.08,0.78,1.16,1.552,183.763,19,0,4,183763,0,0,1.7268131868131866,0.0027560591517187595,BKSKYL71,US,0.4508706467661691,1.6224,0,28.0,16.964809142491518,0.0,49.32098901098902,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-14.862461428675125,0.0,12.637643451543216,13.77707360903962,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.7268131868131866
6,BKLSAB,141,1971,8,4,0,1,0,-9,9.856790123456788,4.078,1,3.5,2.3,2.21,0.8,1.24,1.553,176.731,19,0,4,176731,0,0,1.7279258241758242,0.0026505939168516407,BKLSAB71,US,0.5640019617459539,1.768,0,28.0,16.85167782751173,0.0,49.31987637362638,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.086338674342203,0.0,12.63699932913769,13.691131179238896,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.7279258241758242
7,BKCNTU,143,1971,8,4,0,1,0,-9,11.269135802469135,4.307,1,4.55,3.15,2.21,0.8,1.24,1.972,32.494,19,0,5,32494,0,0,2.194120879120879,0.0004873417721518987,BKCNTU71,US,0.7313675412119804,1.768,0,28.0,16.684312248045707,0.0,48.853681318681325,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.34619707032493,0.0,12.3981396171238,13.691131179238896,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,2.194120879120879
8,BKELCT,144,1971,8,4,0,1,0,-9,12.135802469135802,4.381,1,4.55,3.15,2.27,0.8,1.27,1.848,161.031,19,0,4,161031,0,0,2.056153846153846,0.002415126882236487,BKELCT71,US,0.7190139237616981,1.816,0,28.0,16.696665865495987,0.0,48.99164835164836,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.329161667565142,0.0,12.46308390008475,13.664343863275246,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,2.056153846153846
9,BKRIVE,145,1971,8,2,0,1,0,-9,12.970370370370368,4.325,1,4.55,3.15,2.18,0.8,1.22,1.778,36.765,19,0,4,36765,0,0,1.978269230769231,0.000551397804307397,BKRIVE71,US,0.7283236994219653,1.7440000000000002,0,28.0,16.68735608983572,0.0,49.06953296703297,63.0,29.509822988064688,0.0,125.01037087912088,28.0,-15.342026536013062,0.0,12.501698736212528,13.704798817967559,63.0,-50.04743881203604,0.0,35.217996658869836,17.261600586374698,0,1.978269230769231
